ID;"Nombre Completo";Email;Username;DNI;Contraseña;Matriculado;"ID Matriculación"
5;"Juan Romero Navarro";juanromero1@estudiantes.test;juanromero1;36312113-N;estudiante123;Sí;1440
6;"Lucas Rubio Sanz";lucasrubio2@estudiantes.test;lucasrubio2;39419944-Z;estudiante123;Sí;1441
7;"Martina Navarro López";martinanavarro3@estudiantes.test;martinanavarro3;84240913-D;estudiante123;Sí;1442
8;"Adrián Romero Romero";adrianromero4@estudiantes.test;adrianromero4;56078614-Z;estudiante123;Sí;1443
9;"Carlos Ortiz Castro";carlosortiz5@estudiantes.test;carlosortiz5;47272181-M;estudiante123;Sí;1444
10;"Manuel García Castro";manuelgarcia6@estudiantes.test;manuelgarcia6;46292452-F;estudiante123;Sí;1445
11;"Manuel Ortega Marín";manuelortega7@estudiantes.test;manuelortega7;47531998-Z;estudiante123;Sí;1446
12;"Pablo Ortiz Suárez";pabloortiz8@estudiantes.test;pabloortiz8;83295550-S;estudiante123;Sí;1447
13;"Patricia Alonso Castro";patriciaalonso9@estudiantes.test;patriciaalonso9;41371505-W;estudiante123;Sí;1448
14;"Miguel Alonso Muñoz";miguelalonso10@estudiantes.test;miguelalonso10;60928291-A;estudiante123;Sí;1449
15;"Francisco Álvarez Muñoz";franciscolvarez11@estudiantes.test;franciscolvarez11;78358563-R;estudiante123;Sí;1450
16;"Álvaro Vázquez López";lvarovazquez12@estudiantes.test;lvarovazquez12;12510214-P;estudiante123;Sí;1451
17;"Carlos Suárez Sanz";carlossuarez13@estudiantes.test;carlossuarez13;83847541-Y;estudiante123;Sí;1452
18;"Sofía Morales Vázquez";sofiamorales14@estudiantes.test;sofiamorales14;10323296-E;estudiante123;Sí;1453
19;"Valeria Rodríguez González";valeriarodriguez15@estudiantes.test;valeriarodriguez15;14370336-M;estudiante123;Sí;1454
20;"Mateo Domínguez Molina";mateodominguez16@estudiantes.test;mateodominguez16;79705882-A;estudiante123;Sí;1455
21;"Francisco Sánchez Sánchez";franciscosanchez17@estudiantes.test;franciscosanchez17;21147642-Q;estudiante123;Sí;1456
22;"Enzo Álvarez Torres";enzolvarez18@estudiantes.test;enzolvarez18;31664537-T;estudiante123;Sí;1457
23;"Patricia Suárez García";patriciasuarez19@estudiantes.test;patriciasuarez19;17307734-G;estudiante123;Sí;1458
24;"Martina Pérez Marín";martinaperez20@estudiantes.test;martinaperez20;27464792-D;estudiante123;Sí;1459
25;"Josefa Díaz Álvarez";josefadiaz21@estudiantes.test;josefadiaz21;27083476-X;estudiante123;Sí;1460
