Fecha;Curso;Alumno;Email;Docente;Estado;"Marcado por"
"25 de noviembre de 2025";"Mastering Workplace Communication";admin;jonatanmayanga@gmail.com;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Adrián Romero Romero";adrianromero4@tutor.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Adrián Suárez Torres";adriansuarez49@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Álvaro Morales Ramírez";lvaromorales1@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Álvaro Vázquez López";lvarovazquez12@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Carlos Martín Marín";carlosmartin44@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Carlos Ortiz Castro";carlosortiz5@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Carlos Suárez Sanz";carlossuarez13@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Carmen Rodríguez Suárez";carmenrodriguez30@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Carmen Vázquez Sánchez";carmenvazquez46@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Daniel Alonso Ramos";danielalonso33@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Daniel González Sanz";danielgonzalez50@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Daniel Rubio Álvarez";danielrubio26@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"David Domínguez Álvarez";daviddominguez43@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"David Vázquez Serrano";davidvazquez47@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"docente docente";admin@gmail.com;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Elena Ramos Álvarez";elenaramos36@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Elena Serrano Delgado";elenaserrano40@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Enzo Álvarez Torres";enzolvarez18@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Francisco Álvarez Muñoz";franciscolvarez11@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Francisco Sánchez Sánchez";franciscosanchez17@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Hugo Ramos Iglesias";hugoramos22@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Isabel Martín Serrano";isabelmartin32@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Josefa Blanco Delgado";josefablanco48@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Josefa Díaz Álvarez";josefadiaz21@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Josefa López García";josefalopez23@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Juan Martínez Rubio";juanmartinez29@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Juan Romero Navarro";juanromero1@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Laura Gómez Serrano";lauragomez37@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Lucas Rubio Sanz";lucasrubio2@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Lucía Gómez Romero";luciagomez31@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Manuel García Castro";manuelgarcia6@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Manuel Molina Martínez";manuelmolina41@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Manuel Ortega Marín";manuelortega7@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Martín Muñoz Navarro";martinmunoz38@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Martina Navarro López";martinanavarro3@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Martina Pérez Marín";martinaperez20@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Mateo Domínguez Molina";mateodominguez16@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Mía López Díaz";mialopez24@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Mía Ortiz Blanco";miaortiz42@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Miguel Alonso Muñoz";miguelalonso10@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Miguel García Morales";miguelgarcia39@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Miguel Gómez González";miguelgomez25@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Miguel Suárez Suárez";miguelsuarez28@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Noa Díaz Morales";noadiaz34@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Pablo Blanco Ramos";pabloblanco35@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Pablo Ortiz Suárez";pabloortiz8@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Patricia Alonso Castro";patriciaalonso9@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Patricia Suárez García";patriciasuarez19@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Sofía Morales Vázquez";sofiamorales14@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Sofía Navarro Gómez";sofianavarro27@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Sofía Rubio Muñoz";sofiarubio45@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
"25 de noviembre de 2025";"Mastering Workplace Communication";"Valeria Rodríguez González";valeriarodriguez15@estudiantes.test;"Adrián Romero Romero";Asistió;"Adrián Romero Romero"
